Uniname,Majorname
"California State University, Long Beach",Communications
"California State University, Long Beach",Finance and Accounting
"California State University, Long Beach",Criminal Justice
"California State University, Long Beach",Anthropology
"California State University, Long Beach",Computer Science
"California State University, Long Beach",English
"California State University, Long Beach",Economics
"California State University, Long Beach",Political Science
"California State University, Long Beach",History
"California State University, Long Beach",Kinesiology and Physical Therapy
"California State University, Long Beach",Art
"California State University, Long Beach",Math
"California State University, Long Beach",Environmental Science
"California State University, Long Beach",Foreign Languages
"California State University, Long Beach",Chemistry
"California State University, Los Angeles",Business and Management
"California State University, Los Angeles",Nursing
"California State University, Los Angeles",Psychology
"California State University, Los Angeles",Biology
"California State University, Los Angeles",Engineering
"California State University, Los Angeles",Communications
"California State University, Los Angeles",Finance and Accounting
"California State University, Los Angeles",Criminal Justice
"California State University, Los Angeles",Anthropology
"California State University, Monterey Bay",Business and Management
"California State University, Monterey Bay",Nursing
"California State University, Monterey Bay",Psychology
"California State University, Monterey Bay",Biology
"California State University, Monterey Bay",Education
"California State University, Monterey Bay",Communications
"California State University, Monterey Bay",Kinesiology and Physical Therapy
"California State University, Monterey Bay",Art
"California State University, Monterey Bay",Math
"California State University, Monterey Bay",Environmental Science
"California State University, Northridge",Business and Management
"California State University, Northridge",Nursing
"California State University, Northridge",Psychology
"California State University, Northridge",Biology
"California State University, Northridge",Engineering
"California State University, Northridge",Education
"California State University, Northridge",Communications
"California State University, Northridge",Finance and Accounting
"California State University, Northridge",Criminal Justice
"California State University, Northridge",Anthropology
"California State University, Northridge",Computer Science
"California State University, Northridge",English
"California State University, Northridge",Economics
"California State University, Northridge",Political Science
"California State University, Northridge",History
"California State University, Northridge",Kinesiology and Physical Therapy
"California State University, Northridge",Art
"California State University, Northridge",Math
"California State University, Northridge",Environmental Science
"California State University, Northridge",Foreign Languages
"California State University, Northridge",Chemistry
"California State University, Sacramento",Business and Management
"California State University, Sacramento",Nursing
"California State University, Sacramento",Psychology
"California State University, Sacramento",Biology
"California State University, Sacramento",Engineering
"California State University, Sacramento",Education
"California State University, Sacramento",Communications
"California State University, Sacramento",Criminal Justice
"California State University, Sacramento",Anthropology
"California State University, Sacramento",Computer Science
"California State University, Sacramento",English
"California State University, Sacramento",Economics
"California State University, Sacramento",Political Science
"California State University, Sacramento",History
"California State University, Sacramento",Kinesiology and Physical Therapy
"California State University, Sacramento",Art
"California State University, Sacramento",Math
"California State University, Sacramento",Environmental Science
"California State University, San Bernardino",Business and Management
"California State University, San Bernardino",Nursing
"California State University, San Bernardino",Psychology
"California State University, San Bernardino",Biology
"California State University, San Bernardino",Engineering
"California State University, San Bernardino",Education
"California State University, San Bernardino",Communications
"California State University, San Bernardino",Finance and Accounting
"California State University, San Bernardino",Criminal Justice
"California State University, San Bernardino",Anthropology
"California State University, San Bernardino",Computer Science
"California State University, San Bernardino",English
"California State University, San Bernardino",Economics
"California State University, San Bernardino",Political Science
"California State University, San Bernardino",History
"California State University, San Bernardino",Kinesiology and Physical Therapy
"California State University, San Bernardino",Art
"California State University, San Bernardino",Math
"California State University, San Bernardino",Environmental Science
"California State University, San Bernardino",Foreign Languages
"California State University, San Bernardino",Chemistry
"California State University, San Marcos",Business and Management
"California State University, San Marcos",Nursing
"California State University, San Marcos",Psychology
"California State University, San Marcos",Biology
"California State University, San Marcos",Business and Management
"California State University, San Marcos",Nursing
"California State University, San Marcos",Psychology
"California State University, San Marcos",Biology
"California State University, San Marcos",Economics
"California State University, San Marcos",Political Science
"California State University, San Marcos",History
"California State University, San Marcos",Kinesiology and Physical Therapy
"California State University, San Marcos",Art
"California State University, San Marcos",Math
"California State University, San Marcos",Environmental Science
"California State University, San Marcos",Foreign Languages
"California State University, San Marcos",Chemistry
"California State University, Stanislaus",Business and Management
"California State University, Stanislaus",Nursing
"California State University, Stanislaus",Psychology
"California State University, Stanislaus",Biology
"California State University, Stanislaus",Engineering
